ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
601988.SH,2026-05-28,5.84,5.93,5.79,5.81,5.85,-0.04,-0.6838,2673152.97,1564819.487
601988.SH,2026-05-29,5.8,5.91,5.76,5.86,5.81,0.05,0.8606,3406783.0,1992840.665
601988.SH,2026-06-01,5.85,5.94,5.81,5.93,5.86,0.07,1.1945,2793312.75,1641084.318
601988.SH,2026-06-02,5.93,6.05,5.92,5.97,5.93,0.04,0.6745,3296888.73,1976798.793
601988.SH,2026-06-03,5.96,5.98,5.86,5.95,5.97,-0.02,-0.335,2636892.41,1560883.827
601988.SH,2026-06-04,5.95,5.99,5.88,5.9,5.95,-0.05,-0.8403,1912124.86,1134051.295
601988.SH,2026-06-05,5.91,6.05,5.9,6.05,5.9,0.15,2.5424,3643592.24,2187970.116
601988.SH,2026-06-08,6.05,6.17,6.02,6.14,6.05,0.09,1.4876,3623035.13,2212689.496
601988.SH,2026-06-09,6.1,6.19,6.07,6.13,6.14,-0.01,-0.1629,2561635.28,1571855.743
601988.SH,2026-06-10,6.14,6.27,6.11,6.22,6.13,0.09,1.4682,3080229.89,1913724.183
601988.SH,2026-06-11,6.22,6.23,6.11,6.2,6.22,-0.02,-0.3215,2422277.64,1496846.965
601988.SH,2026-06-12,6.14,6.29,6.1,6.29,6.2,0.09,1.4516,3350003.58,2079619.276
601988.SH,2026-06-15,6.26,6.27,6.08,6.13,6.29,-0.16,-2.5437,4043855.41,2490148.326
601988.SH,2026-06-16,6.1,6.13,6.01,6.04,6.13,-0.09,-1.4682,2246395.12,1358536.175
601988.SH,2026-06-17,6.04,6.08,5.92,5.94,6.04,-0.1,-1.6556,2320137.19,1387016.243
601988.SH,2026-06-18,5.92,5.94,5.77,5.78,5.94,-0.16,-2.6936,3651968.56,2125912.675
601988.SH,2026-06-22,5.78,5.98,5.74,5.94,5.78,0.16,2.7682,3856864.34,2275105.402
601988.SH,2026-06-23,5.94,6.18,5.92,6.14,5.94,0.2,3.367,3870641.6,2361841.406
601988.SH,2026-06-24,6.15,6.2,6.0,6.02,6.14,-0.12,-1.9544,3286798.81,1999414.297
601988.SH,2026-06-25,5.9,6.03,5.78,5.79,6.02,-0.23,-3.8206,3780288.35,2222922.055
601988.SH,2026-06-26,5.79,5.89,5.75,5.76,5.79,-0.03,-0.5181,3247484.86,1886108.961
601988.SH,2026-06-29,5.75,5.82,5.62,5.8,5.76,0.04,0.6944,3291220.4,1891600.857
601988.SH,2026-06-30,5.76,5.78,5.57,5.72,5.8,-0.08,-1.3793,4005578.9,2263814.421
601988.SH,2026-07-01,5.67,5.72,5.64,5.65,5.72,-0.07,-1.2238,2007286.42,1137957.517
